figure_id	rendered_element	data_source	data_sha256	generator_sha256	output_sha256
F1	F1			51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	e1ac6bc8411904c094dadc4b89f86fdae98ab176efa3f3123407d2394a1b8673
F2	F2	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F2_PRIMARY_HYPOTHESIS_DATA.json	232fe68c3d78fdb781b9b5da5fa38213406ba511b77d5ff65562ff35b6e22d99	51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	a3f17e7b57d0cd78d46fdc4666f426747c90f6a5d539871edc307421ddbff5fa
F3	F3	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F3_ATTRITION_FLOW_DATA.json	448d4dca9ef6afcb4b4c0d8b88178a5d79a4b20bc9470160f11617f1b21435d8	51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	481a9983aa193e041281ee8d38961f16839562a30edcdc4a8abec70298d046a9
F4	F4	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F4_HISTORICAL_RETRIEVAL_DATA.json	cdd9553839776ba8dce656530c0b594bb82a2d1cf146837ebdbf211d1867bf65	51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	b5260ce3b5b64f8e28312f83c881b3d63aae7f5ae96ffe58a1c1406580db9fb1
F5	F5	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F4_HISTORICAL_RETRIEVAL_DATA.json	cdd9553839776ba8dce656530c0b594bb82a2d1cf146837ebdbf211d1867bf65	51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	982b8304eb3a5710f2a49f1fd16382402f242e77d6ceddab22b544540a37b81d
F6	F6	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F6_HYDRALAMP_MATRIX_DATA.json	3481402d13c8a5537dc8b85866889cd5bed9ab0e5bfc7efb93e8213661859554	51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	5741b014c04f09b81dc47ddd10ca781c2cdde2cac21f647f69c942270ed068b8
F7	F7	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F7_TAMPER_MODES_DATA.json	aea479997378207763e1c6c6c67998df58b15708d78e70193084674d0303b161	51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	294b73ef1e638d25c4567ed3540c7f4589c30d99da0d2512661bdd461f355621
F8	F8	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F8_SYSTEMS_STATE_DATA.json	e852bc5f8e3fff5485d74a64a9cedfa4f0dcddfaab91e390651108d13192c79e	51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	83db9e93f5b9ba1b43dfcbf22c6a792f6389dde1c14b2f329607af4e9531ab60
F9	F9			51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	e803a086fb13fa7119b074aa58c5ba9cd71c9123ba0b29e6e7c27f2823bcd2fa
F10	F10			51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	3a5bc7a9b6202b7cb906d0ab73e029f3fa83e0b9e86c77d7e155cc1a70df330e
F11	F11			51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	55852fb67f0ce503844518ac07ffd23fc5194b3836ac73409b276d5c2c304823
F12	F12	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F12_ANTICUBE_TRAJECTORY_DATA.json	175e75c2d310f5bd308c848025fd63002b7a086adae09c6f92f5495cce7e737d	51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	ac8e8f540171ebe993af023e2831d74b9da6d1046674e88a6d080102cb729260
F13	F13	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F13_SEEDGRAPH_COVERAGE_DATA.json	cfd5cba2aff7426b79040bfc958dbe656f4a7db425937e278fc818c232306227	51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	e3d4400517ad65fd846164c5bcc9c29ee92eb5091f381d3ec34afa4ae0137502
F14	F14	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F2_PRIMARY_HYPOTHESIS_DATA.json	232fe68c3d78fdb781b9b5da5fa38213406ba511b77d5ff65562ff35b6e22d99	51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	7952d9989b20dd1d440f94aff6b97045d44e09c6f5905b648135379276a541ff
F15	F15			51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	ec18fa95b175effa63523f2f9463ac24538dbe5958e3c5634985b1276394ff6b
F16	F16			51d36e2e826d3327708027b45ee47bdf4c2a52c7d8ac91b07e2a0c1868bcd5eb	f5521572a84919c13b5447b2aa76d1557a502cb9e77da5ca2d3a46a80526a65a
