figure_id	rendered_element	data_source	data_sha256	generator_sha256	output_sha256
F1	F1			af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	1ddb8ac9748d7640cdd3a5b78c0df7e7e911dd4237cdb9724c1a1b15725e87a3
F2	F2	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F2_PRIMARY_HYPOTHESIS_DATA.json	232fe68c3d78fdb781b9b5da5fa38213406ba511b77d5ff65562ff35b6e22d99	af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	f7059541cc6b0fb6bb512375fcc1e01d6b594e2984a3de58c855f9ef0e3adaa3
F3	F3	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F3_ATTRITION_FLOW_DATA.json	448d4dca9ef6afcb4b4c0d8b88178a5d79a4b20bc9470160f11617f1b21435d8	af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	f0cfba4a2d6cc2ebbd5cbdcc6982cf09a4779beb342e5ca9ad3e34ffd9159e19
F4	F4	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F4_HISTORICAL_RETRIEVAL_DATA.json	cdd9553839776ba8dce656530c0b594bb82a2d1cf146837ebdbf211d1867bf65	af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	f62a00ec60f72a85dc85498f0ce1d5cbdba926e255a05d39a9e34e2903fd3d9d
F5	F5	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F4_HISTORICAL_RETRIEVAL_DATA.json	cdd9553839776ba8dce656530c0b594bb82a2d1cf146837ebdbf211d1867bf65	af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	0929f4a36ffff5047b61a826a7ef82f83e9084ecf8ac5f3d03d5547a49e4e5e3
F6	F6	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F6_HYDRALAMP_MATRIX_DATA.json	3481402d13c8a5537dc8b85866889cd5bed9ab0e5bfc7efb93e8213661859554	af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	303757cf405146d6603ce81aa62dca5bb8d2b8b481198e0aff6fe149d73f356e
F7	F7	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F7_TAMPER_MODES_DATA.json	aea479997378207763e1c6c6c67998df58b15708d78e70193084674d0303b161	af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	7edd7451c862d0e2798c41ab2566df2d75d59dfdf32ae46746d80a99ee334787
F8	F8	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F8_SYSTEMS_STATE_DATA.json	e852bc5f8e3fff5485d74a64a9cedfa4f0dcddfaab91e390651108d13192c79e	af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	089105024dc2d854f48c429bc980f1d0d2a605b2ccadb35587d984b3e84eec26
F9	F9			af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	96ab1a50df8ba58359155fe1734008ab917955da217d693fbf39eae7e7a49c62
F10	F10			af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	e396279f332c72b22b8b8c8fae82bb825d9b0f28eeb7eafaf54f970dd5ec1ae4
F11	F11			af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	1e5418fc822ed62ee53f9c79056b0d7de56ea76af957978f4247499fc9150151
F12	F12	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F12_ANTICUBE_TRAJECTORY_DATA.json	175e75c2d310f5bd308c848025fd63002b7a086adae09c6f92f5495cce7e737d	af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	c01c15660f21ac507531f66d7f5d4d8fc9d75860d034f8a242de8eebf64b5fff
F13	F13	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F13_SEEDGRAPH_COVERAGE_DATA.json	cfd5cba2aff7426b79040bfc958dbe656f4a7db425937e278fc818c232306227	af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	1f785607216cf67048c6162e71b2c9187a0273e227f9bb573cbb64869cefcf43
F14	F14	paper/newinml2026_solo/final_v4/comprehensive_v2/figure_specs/F2_PRIMARY_HYPOTHESIS_DATA.json	232fe68c3d78fdb781b9b5da5fa38213406ba511b77d5ff65562ff35b6e22d99	af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	501ca8bb31ecd3468c9e8cab1cae13569ea26e773bc33cccabba3468a7341322
F15	F15			af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	44ad0638b53153f60373394764fbace67b92498cc2d16f93250847dab2e5d50e
F16	F16			af083047b299845f0496c8a4d5f6f3c66579c8f1576cc2eedeec954dd5df1706	d79fbf807e9b9fe936cf3db889ff9a2d85f20bf720d7e7ca54676211672bac7d
