software	repo_url	version	commit_digest	role	license	license_source	citation	modified	distribution_status	paper_role
HydraDG	https://github.com/biobitworks/hydradg	0.3.7	ed73cfc484db1f5852167540a1279cf0b2fe0ce0	Framework	MIT	LICENSE	this repo	yes	internal+anon_bundle	PRIMARY
HydraLamp	https://github.com/biobitworks/hydradg	20260826	ed73cfc484db1f5852167540a1279cf0b2fe0ce0	Systems validation	MIT	LICENSE	this repo	yes	internal	SYSTEMS
FCO/FCG	HydraDG_DaisyTrain_v0.3.7	v0.3.7	ed73cfc484db1f5852167540a1279cf0b2fe0ce0	Custody graph	MIT	LICENSE	companion preprint	yes	internal	FRAMEWORK
Ollarma	eval/ollarma_*	20260827	ed73cfc484db1f5852167540a1279cf0b2fe0ce0	Local model bridge	MIT	LICENSE	internal	yes	internal	INFRA
SeedGraph	HydraDG_DaisyTrain_v0.3.7/seedgraph	v1a	ed73cfc484db1f5852167540a1279cf0b2fe0ce0	Atomization	MIT	LICENSE	internal	yes	partial	LIMITATION
HydraDB	scripts/project_*_hydradb.py	20260820	ed73cfc484db1f5852167540a1279cf0b2fe0ce0	Graph projection	MIT	LICENSE	internal	yes	internal	INFRA
Antigence	related implementation	experimental	N/A	Transfer validation	UNKNOWN	NOT_IN_REPO	internal docs	no	NOT_ADMISSIBLE_PRIMARY	FUTURE
Python	python.org	3.x	system	Stats/figures	PSF	LICENSE	N/A	no	standard	TOOLING
matplotlib/scipy/pandas	PyPI	pinned in requirements	lockfile	Figures/stats	BSD	LICENSE	N/A	no	standard	TOOLING
NeurIPS 2026 style	official kit	2026	source_freeze	Manuscript	NeurIPS	kit zip	NeurIPS	no	bundled sty	TEMPLATE
